,SLogP,SMR_VSA1,SMR_VSA2,SMR_VSA3,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,Kier1,Kier2,Kier3,nHBAcc,nHBDon,nRot,RotRatio
1029,-0.2100757640629464,-0.2339871618369458,-0.1816041509595336,0.0816288222548424,-0.4829511583298758,-0.4898932421804701,-1.06768838779197,-0.38119846711822,-0.7240966461425057,-0.8368278446178373,0.8521542543216322,-0.3649315393813838,-0.9569831938686416,-1.0077347507869574
1030,-0.6617022334274447,0.2469656290980112,-0.1816041509595336,-0.6246217649348565,0.3374826681821486,-0.2414402910498837,-0.431446850043221,0.2197740182730879,0.7268325975610238,1.4297102248546585,0.2736138331898852,0.8274342482394744,0.9398723832503008,1.225651308413022
1031,-0.4064690791710187,0.8143465378736745,-0.1816041509595336,0.2689036366226617,1.1303117303284698,-0.2299273991197715,0.204794687705528,0.6830926107741072,0.2419037085937911,-0.1699706764377325,0.2736138331898852,0.8274342482394744,-0.0085554053091704,-0.3953547022966405
1032,-1.362389176714831,1.4327222115196012,-0.1816041509595336,0.1643501530888254,-0.52133151238102,1.734440797930788,0.8333827774679952,0.2197740182730879,0.4485611559769281,0.7700152417934513,0.8521542543216322,-0.3649315393813838,0.9398723832503008,1.225651308413022
1033,-2.57928445673231,-0.3064334560687191,-0.1816041509595336,0.1961453975578077,1.1962968487453174,0.6611477827416823,-0.4391002980295029,-1.4431603435829852,-1.3062830636519231,-1.2057998341668574,0.8521542543216322,0.8274342482394744,-0.9569831938686416,-0.5479199738928437
1034,-0.5215010444564424,0.8530036556568276,-0.1816041509595336,-0.6425724669340269,1.2277752426726791,0.2207462309505068,0.8333827774679952,1.1187279939034536,1.1242041903204556,1.704251899647668,-0.3049265879418616,2.0198000358603325,1.4140862775300365,1.6276607990690186
1035,0.3233746073972553,1.418775162951608,-0.1816041509595336,-1.518147166492375,2.5953411208007067,1.5990561455054186,0.197141239719246,1.743228675397393,2.0423278449844253,1.6212483774967812,0.8521542543216322,0.8274342482394744,1.888300171809772,1.1241337602675685
1036,1.42081177537852,-0.9248091297146456,-0.1816041509595336,1.7519990374900376,-1.362892330699446,-0.0767604130441461,-1.06768838779197,0.2187685913000308,0.2359302081669764,-0.1691108342368945,0.8521542543216322,-0.3649315393813838,-0.0085554053091704,-0.2761082831179987
1037,-0.7070802064220415,1.4257486872356049,-0.1816041509595336,-0.6425724669340269,1.0699973634182671,0.2125238530730484,1.4696243152167443,0.5588298808746172,0.9162940168237032,1.2234148005213676,0.2736138331898852,0.8274342482394744,0.9398723832503008,0.7470685814415967
1038,0.2366859313952755,-0.8791784876474958,-0.1816041509595336,-0.6425724669340269,0.2542441875205582,-0.3870686345460953,0.4206048217119784,-0.6147314160265147,-1.433399175170188,-1.2858695350536706,-1.4620074302053554,-0.3649315393813838,-1.431197088148377,-1.5418053301608652
